"id";"name";"lang";"text";"song.id";"song";"language";"translation"
"3ade68b8gaf83c0b3";"taylor-swift";2;"Knew he was a killer First time that I saw him Wonder how many girls he had loved And left haunted But if he's a ghost Then I can be a phantom Holdin' him for ransom Some, some boys are tryin' too hard He don't try at all though Younger than my exes But he act like such a man, so I see nothing better, I keep him forever Like a vendetta-ta  I-I-I see how this is gonna go Touch me, and you'll never be alone I-Island breeze and lights down low No one has to know  In the middle of the night, in my dreams You should see the things we do, baby In the middle of the night, in my dreams I know I'm gonna be with you So I take my time (Are you ready for it?)  Me, I was a robber First time that he saw me Stealing hearts and running off And never saying sorry But if I'm a thief Then he can join the heist And we'll move to an island-and And he can be my jailer Burton to this Taylor Every lover known in comparison is a failure I forget their names now I'm so very tame now Never be the same now, now  I-I-I see how this is gonna go Touch me and you'll never be alone I-Island breeze and lights down low No one has to know (No one has to know)  In the middle of the night, in my dreams You should see the things we do, baby In the middle of the night in my dreams I know I'm gonna be with you So I take my time (Are you ready for it?) (Ooh, are you ready for it?)  Baby, let the games begin Let the games begin Let the games begin Baby, let the games begin Let the games begin Let the games begin  I-I-I see how this is gonna go Touch me and you'll never be alone I-Island breeze and lights down low No one has to know  In the middle of the night, in my dreams You should see the things we do, baby In the middle of the night, in my dreams I know I'm gonna be with you So I take my time In the middle of the night  Baby, let the games begin Let the games begin Let the games begin (Are you ready for it?) Baby, let the games begin Let the games begin Let the games begin (Are you ready for it?)";"3ade68b8gaf83c0b3";"taylor-swift";1;"[Pronto Para Isso?]  Eu sabia que ele era um assassino Na primeira vez que o vi Imagino quantas garotas ele amou E deixou assombradas Mas se ele é uma assombração Então eu posso ser um fantasma Segurando-o para pedir um resgate Alguns, alguns garotos estão tentando demais Embora ele não force tanto assim É mais novo que os meus ex-namorados Mas ele age como um homem, então Não vejo nada demais em mantê-lo para sempre Como vingança  Eu, eu, eu vejo como isso vai acontecer Me toque e você nunca estará sozinho Brisas frescas e luzes se apagando Ninguém tem que saber  No meio da noite, nos meus sonhos Você deveria ver as coisas que fazemos, amor No meio da noite, nos meus sonhos Eu sei que vou estar com você Então estou me dando o tempo necessário (você está pronto pra isso?)  Eu, eu era uma assaltante Na primeira vez em que ele me viu Roubando corações e fugindo E nunca me desculpando Mas se sou uma ladra Então ele pode se juntar ao golpe E nós iremos para uma ilha E ele pode ser meu carcereiro Burton para essa Taylor Todo amante conhecido em comparação é um fracasso Eu esqueci os nomes deles, agora Eu estou bem mansa, agora Nunca mais serei a mesma agora, agora  Eu, eu, eu vejo como isso vai acontecer Me toque e você nunca estará sozinho Brisas frescas e luzes se apagando Ninguém tem que saber (ninguém tem que saber)  No meio da noite, nos meus sonhos Você deveria ver as coisas que fazemos, amor No meio da noite, nos meus sonhos Eu sei que vou estar com você Então estou me dando o tempo necessário (você está pronto pra isso?) (ooh, você está pronto pra isso?)  Amor, deixe os jogos começarem Que comecem os jogos Que comecem os jogos Amor, que comecem os jogos Que comecem os jogos Que comecem os jogos  Eu, eu, eu vejo como isso vai acontecer Me toque e você nunca estará sozinho Brisas frescas e luzes se apagando Ninguém tem que saber  No meio da noite, nos meus sonhos Você deveria ver as coisas que fazemos, amor No meio da noite, nos meus sonhos Eu sei que vou estar com você Então estou me dando o tempo necessário No meio da noite  Amor, que comecem os jogos Que comecem os jogos Que comecem os jogos (você está pronto pra isso?) Amor, que comecem os jogos Que comecem os jogos Que comecem os jogos (você está pronto pra isso?)"
"3ade68b8g1e5d00b3";"taylor-swift";2;"It feels like a perfect night To dress up like hipsters And make fun of our exes It feels like a perfect night For breakfast at midnight To fall in love with strangers Yeah We're happy, free, confused and lonely at the same time It's miserable and magical Oh yeah Tonight's the night when we forget about the deadlines It's time  I don't know about you But I'm feeling 22 Everything will be alright if You keep me next to you You don't know about me But I bet you want to Everything will be alright If we just keep dancing Like we're 22 22  It seems like one of those nights This place is too crowded Too many cool kids It seems like one of those nights We ditch the whole scene And end up dreaming Instead of sleeping Yeah We're happy free confused and lonely in the best way It's miserable and magical Oh yeah Tonight's the night when we forget about the heartbreaks, It's time  I don't know about you But I'm feeling 22 Everything will be alright if You keep me next to you You don't know about me But I bet you want to Everything will be alright If we just keep dancing Like we're 22 22  I don't know about you 22  22  It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news  I gotta have you I gotta have you  I don't know about you But I'm feeling 22 Everything will be alright if You keep me next to you You don't know about me But I bet you want to Everything will be alright If we just keep dancing Like we're 22 22  Dancing like 22 22  It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news I gotta have you  I gotta have you";"3ade68b8g1e5d00b3";"taylor-swift";1;"[22]   Parece uma noite perfeita Para nos vestirmos como hipsters E fazer piadas dos nossos ex namorados Parece uma noite perfeita  Para um café da manhã à meia noite Para se apaixonar por estranhos Sim Estamos felizes, livres, confusos e sós ao mesmo tempo É miserável e mágico Oh sim Essa noite é a noite que vamos esquecer os prazos,  É a hora  Eu não sei você Mas eu estou me sentindo com 22 anos Tudo vai ficar bem se  Você continuar perto de mim Você não me conhece Mas eu aposto que você quer Tudo vai ficar bem Se nós apenas continuarmos dançando  Como se tivéssemos 22 anos 22 anos  Essa parece uma daquelas noites Esse lugar está tão cheio Tanta gente legal Essa parece uma daquelas noites Nós abandonamos toda aquela cena  E acabamos sonhando Ao invés de dormir Sim Estamos felizes, livres, confusos e sós da melhor forma É miserável e mágico Oh sim Essa é a noite em que esquecemos os corações partidos,  É a hora  Eu não sei você Mas eu estou me sentindo com 22 anos Tudo vai ficar bem se  Você continuar perto de mim Você não me conhece Mas eu aposto que você quer Tudo vai ficar bem Se nós apenas continuarmos dançando  Como se tivéssemos 22 anos 22 anos  Eu não sei você 22 anos 22 anos  Essa parece uma daquelas noites Nós abandonamos toda aquela cena Essa parece uma daquelas noites Em que nós não vamos dormir Essa parece uma daquelas noites Você parece uma má notícia Eu tenho que ter você Eu tenho que ter você  Eu não sei você Mas eu estou me sentindo com 22 anos Tudo vai ficar bem se  Você continuar perto de mim Você não me conhece Mas eu aposto que você quer Tudo vai ficar bem Se nós apenas continuarmos dançando  Como se tivéssemos 22 anos 22 anos  Dançando como 22 anos 22 anos 22 anos  Essa parece uma daquelas noites Nós abandonamos toda aquela cena Essa parece uma daquelas noites Nós não vamos dormir Essa parece uma daquelas noites Você parece uma má notícia,  Eu tenho que ter você Tenho que ter você"
"3ade68b8ga82befa3";"taylor-swift";2;"7 years and 50 days, the time is passing by  Nothing in this world can be as nice as you and I  And how could we break up like this?  And how could we be wrong?  So many years, so many days and I still sing my song  Now I run to you like I always do  When I close my eyes I think of you  Such a lonely girl  Such a lonely world  When I close my eyes I dream  I return to you like I always do  When I close my eyes I think of you  Such a lonely girl  Such a lonely world  When I close my eyes I dream '?¦ Of you  7 years and 50 days, now just look at me  Am I the girl I use to be  So damn what do you see?  And how could we break up like this?  And how could we be wrong?  So many years, so many days and I still sing my song  Now I run to you like I always do  When I close my eyes I think of you  Such a lonely girl  Such a lonely world  When I close my eyes I dream  I return to you like I always do  When I close my eyes I think of you  Such a lonely girl  Such a lonely world  When I close my eyes I dream of you";"3ade68b8ga82befa3";"taylor-swift";1;"[7 anos e 50 dias] 7 anos e 50 dias, o tempo está passando Nada neste mundo pode ser tão bom quanto você e eu E como poderíamos terminar assim?  E como poderíamos estar errado?  Tantos anos, tantos dias e eu ainda cantar minha música  Agora eu corro pra você como eu sempre faço Quando eu fecho meus olhos eu penso em você menina Tal só mundo Tal só Quando eu fecho meus olhos eu sonho  eu voltar para você como eu sempre faço Quando eu fecho meus olhos eu penso em você menina Tal só mundo Tal só Quando eu fecho meus olhos eu sonho '|? De você  7 anos e 50 dias, agora é só olhar para mim Eu sou a garota que eu costumava ser tão maldito o que você vê?  E como poderíamos terminar assim?  E como poderíamos estar errado?  Tantos anos, tantos dias e eu ainda cantar minha música  Agora eu corro pra você como eu sempre faço Quando eu fecho meus olhos eu penso em você menina Tal só mundo Tal só Quando eu fecho meus olhos eu sonho  eu voltar para você como eu sempre faço Quando eu fecho meus olhos eu penso em você menina Tal só mundo Tal só Quando eu fecho meus olhos eu sonho com você"
"3ade68b8g981be0b3";"taylor-swift";2;"Betty, I won't make assumptions About why you switched your homeroom, but I think it's 'cause of me Betty, one time I was riding on my skateboard When I passed your house It's like I couldn't breathe  You heard the rumors from Inez You can't believe a word she says Most times, but this time it was true The worst thing that I ever did Was what I did to you  But if I just showed up at your party Would you have me? Would you want me? Would you tell me to go fuck myself Or lead me to the garden? In the garden, would you trust me If I told you it was just a summer thing? I'm only seventeen, I don't know anything But I know I miss you  Betty, I know where it all went wrong Your favorite song was playing From the far side of the gym I was nowhere to be found I hate the crowds, you know that Plus, I saw you dance with him  You heard the rumors from Inez You can't believe a word she says Most times, but this time it was true The worst thing that I ever did Was what I did to you  But if I just showed up at your party Would you have me? Would you want me? Would you tell me to go fuck myself Or lead me to the garden? In the garden, would you trust me If I told you it was just a summer thing? I'm only seventeen, I don't know anything But I know I miss you  I was walking home on broken cobblestones Just thinking of you when she pulled up like A figment of my worst intentions She said ""James, get in, let's drive"" Those days turned into nights Slept next to her, but I dreamt of you all summer long  Betty, I'm here on your doorstep And I planned it out for weeks now But it's finally sinkin' in Betty, right now is the last time I can dream about what happens when You see my face again  The only thing I wanna do Is make it up to you So I showed up at your party Yeah, I showed up at your party  Yeah, I showed up at your party Will you have me? Will you love me? Will you kiss me on the porch In front of all your stupid friends? If you kiss me, will it be just like I dreamed it? Will it patch your broken wings? I'm only seventeen, I don't know anything But I know I miss you  Standing in your cardigan Kissin' in my car again Stopped at a streetlight You know I miss you";"3ade68b8g981be0b3";"taylor-swift";1;"[Betty]  Betty, não farei suposições Sobre o porquê de você ter mudando de sala, mas Acho que é por causa de mim Betty, uma vez, eu estava andando de skate Quando passei pela sua casa Foi como se eu não pudesse respirar  Você ouviu os boatos pela Inez Não consegue acreditar em uma palavra do que ela diz Na maioria das vezes, mas desta vez, é verdade A pior coisa que já fiz Foi o que fiz com você  Mas se eu aparecesse na sua festa Você me receberia? Iria me querer? Diria para eu ir me ferrar Ou me levaria para o seu jardim? No jardim, você confiaria em mim Se eu te dissesse que foi só um lance de verão? Só tenho dezessete anos, não sei nada Mas sei que sinto sua falta  Betty, sei onde tudo deu errado Sua música preferida estava tocando Lá do canto do ginásio Eu não estava por perto Odeio multidões, você sabe disso Além do mais, eu te vi dançando com ele  Você ouviu os boatos pela Inez Não consegue acreditar em uma palavra do que ela diz Na maioria das vezes, mas desta vez, é verdade A pior coisa que já fiz Foi o que fiz com você  Mas se eu aparecesse na sua festa Você me receberia? Iria me querer? Diria para eu ir me ferrar Ou me levaria para o seu jardim? No jardim, você confiaria em mim Se eu te dissesse que foi só um lance de verão? Só tenho dezessete anos, não sei nada Mas sei que sinto sua falta  Eu estava voltando pra casa em paralelepípedos quebrados Só pensando em você, quando ela estacionou, do tipo Uma invenção das minhas piores intenções Ela disse, ""James, entre, vamos dar uma volta de carro"" Aqueles dias se tornaram noites Dormi ao lado dela, mas Sonhei com você o verão inteiro  Betty, estou aqui na sua porta E planejei isso por semanas agora Mas finalmente está caindo a ficha Betty, agora é a última vez Que posso sonhar com o que vai acontecer quando Você ver o meu rosto novamente  A única coisa que quero fazer É as pazes com você Então apareci na sua festa Sim, apareci na sua festa  Sim, apareci na sua festa Você irá me receber? Irá me amar? Irá me beijar na varanda Na frente de todos os seus amigos idiotas? Se você me beijar, será exatamente como sonhei? Irá remendar suas asas despedaçadas? Só tenho dezessete anos, não sei nada Mas sei que sinto sua falta  Parada usando seu cardigã Beijando no meu carro de novo Parados num semáforo Você sabe que sinto sua falta"
"3ade68b8g181be0b3";"taylor-swift";2;"I want you to know I'm a mirrorball I'll show you every version of yourself tonight I'll get you out on the floor Shimmering beautiful And when I break, it's in a million pieces  Hush, when no one is around, my dear You'll find me on my tallest tip-toes Spinning in my highest heels, love Shining just for you Hush, I know they said the end is near But I'm still on my tallest tip-toes Spinning in my highest heels, love Shining just for you  I want you to know I'm a mirrorball I can change everything about me to fit in You are not like the regulars The masquerade revelers Drunk as they watch my shattered edges glisten  Hush, when no one is around, my dear You'll find me on my tallest tip-toes Spinning in my highest heels, love Shining just for you Hush, I know they said the end is near But I'm still on my tallest tip-toes Spinning in my highest heels, love Shining just for you  And they called off the circus, burned the disco down When they sent home the horses and the rodeo clowns I'm still on that tightrope I'm still trying everything to get you laughing at me I'm still a believer, but I don't know why I've never been a natural, all I do is try, try, try I'm still on that trapeze I'm still trying everything to keep you looking at me  Because I'm a mirrorball I'm a mirrorball And I'll show you every version of yourself tonight";"3ade68b8g181be0b3";"taylor-swift";1;"[Globo Espelhado]  Eu quero que você saiba Eu sou um globo espelhado Vou te mostrar cada versão de si mesmo esta noite Vou te levar para a pista de dança Cintilando lindamente E quando eu quebrar, será em milhões de pedaços  Silêncio, quando ninguém estiver por perto, meu querido Você vai me encontrar na ponta mais alta dos pés Girando com meu salto mais alto, amor Brilhando apenas para você Silêncio, eu sei que eles disseram que o fim está próximo Mas ainda estou na ponta mais alta dos pés Girando com meu maior salto alto, amor Brilhando apenas para você  Eu quero que você saiba Eu sou um globo espelhado Eu posso mudar tudo em mim para me encaixar Você não é como os outros Os brincalhões de máscaras Bêbados enquanto observam minhas bordas estilhaçadas brilharem  Silêncio, quando ninguém estiver por perto, meu querido Você vai me encontrar na ponta mais alta dos pés Girando com meu salto mais alto, amor Brilhando apenas para você Silêncio, eu sei que eles disseram que o fim está próximo Mas ainda estou na ponta mais alta dos pés Girando com meu maior salto alto, amor Brilhando apenas para você  E eles fecharam o circo, queimaram a discoteca Quando mandaram para casa os cavalos e os palhaços de rodeio Eu ainda estou naquela corda bamba Eu ainda estou tentando de tudo para você rir de mim Eu ainda acredito, mas não sei o porquê Eu nunca fui boa, tudo o que faço é tentar, tentar, tentar Eu ainda estou naquele trapézio Eu ainda estou tentando de tudo para te manter olhando para mim  Porque eu sou um globo espelhado Sou um globo espelhado E vou te mostrar cada versão de si mesmo esta noite"
"3ade68b8g6d1ce0b3";"taylor-swift";2;"Is it romantic how all of my elegies eulogize me? I'm not cut out for all these cynical clones These hunters with cell phones  Take me to the lakes, where all the poets went to die I don't belong and, my beloved, neither do you Those Windermere peaks look like a perfect place to cry I'm setting off, but not without my muse  What should be over burrowed under my skin In heart-stopping waves of hurt I've come too far to watch some namedropping sleaze Tell me what are my words worth  Take me to the lakes, where all the poets went to die I don't belong and, my beloved, neither do you Those Windermere peaks look like a perfect place to cry I'm setting off, but not without my muse  I want auroras and sad prose I want to watch wisteria grow right over my bare feet 'Cause I haven't moved in years And I want you right here A red rose grew up out of ice frozen ground With no one around to tweet it While I bathe in cliffside pools With my calamitous love and insurmountable grief  Take me to the lakes, where all the poets went to die I don't belong and, my beloved, neither do you Those Windermere peaks look like a perfect place to cry I'm setting off, but not without my muse No, not without you";"3ade68b8g6d1ce0b3";"taylor-swift";NA;NA
"3ade68b8g5d1f3fa3";"taylor-swift";2;"[chorus 1:] Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart,now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?  Maybe I should've seen the signs,  Should've read the writing on the wall. And realized by the distance in your eyes  That I would be the one to fall. No matter what you say, I still can't believe That you would walk away. It don't make sense to me, but:  [repeat chorus 1:] Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?  It's not unbroken anymore. How do I get it back the way it was before?  [chorus 2:] Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart,now?  Why would you wanna make the very first scar? Why would you wanna break, would you wanna break a:  [repeat chorus 1:] Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?";"3ade68b8g5d1f3fa3";"taylor-swift";1;"[Um Coração Perfeitamente Bom]  [Refrão 1] Porquê você iria quebrar um coração perfeitamente bom? Porquê você iria pegar nosso amor e despedaçá-lo agora? Porquê você quereria fazer a primeira cicatriz? Porquê você iria quebrar um coração perfeitamente bom?  Talvez eu devesse ter visto os sinais ter percebido o que estava por vir E percebido através da distancia dos seus olhos  que eu seria a primeira a cair Não importa o que você diz, Eu ainda não acredito Que você poderia ir embora Isso não faz sentido pra mim, mas:  [Repete Refrão] Porquê você iria quebrar um coração perfeitamente bom? Porquê você iria pegar nosso amor e despedaçá-lo agora? Porquê você quereria fazer a primeira cicatriz? Porquê você iria quebrar um coração perfeitamente bom?  Não é inquebravel nunca mais Como eu faço pra voltar para o jeito que era antes  [Refrão 2] Porquê você iria quebrar um coração perfeitamente bom? Porquê você iria pegar nosso amor e despedaçá-lo agora? Porquê você quereria fazer a primeira cicatriz? Porquê você quereria quebrar um coração perfeitamente bom?  [Repete Refrão] Porquê você iria quebrar um coração perfeitamente bom? Porquê você iria pegar nosso amor e despedaçá-lo agora? Porquê você quereria fazer a primeira cicatriz? Porquê você quereria quebrar um coração perfeitamente bom?"
"3ade68b8g96a00fa3";"taylor-swift";2;"I don't know what I want, so don't ask me Cause I'm still trying to figure it out Don't know what's down this road, I'm just walking Trying to see through the rain coming down Even though I'm not the only one Who feels the way I do  I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm just a girl trying to find a place in this world  Got the radio on, my old blue jeans And I'm wearing my heart on my sleeve Feeling lucky today, got the sunshine Could you tell me what more do I need And tomorrow's just a mistery oh yeah But that's ok  I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm just a girl trying to find a place in this world  Maybe I'm just a girl on a mission But I'm ready to fly  I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm alone, on my own, and that's all I know Oh I'm just a girl trying to find a place in this world  Oh I'm just a girl oh I'm just a girl oh oh oh I'm just a girl";"3ade68b8g96a00fa3";"taylor-swift";1;"[Um lugar nesse mundo]   Eu não sei o que eu quero, então não me pergunte Porque eu ainda estou tentando entender isso Não sei onde essa estrada vai dar, Eu estou apenas andando Tentando ver através da chuva que vem caindo Embora eu não seja a única Quem se sente do jeito que eu me sinto  Eu estou sozinha, comigo mesma, e é tudo que eu sei Eu serei forte, eu estarei errada,oh mas a vida continua Eu sou apenas uma garota tentando achar um lugar nesse mundo  Tô com o rádio ligado, meu velho jeans azul E eu estou vestindo meu coração na minha manga Me sentindo sortuda hoje, ganhando o pôr-do-sol Poderia me dizer o que mais eu preciso fazer E amanhã é apenas um mistério oh sim Mas tudo bem  Eu estou sozinha, comigo mesma, e é tudo que eu sei Eu serei forte, eu estarei errada,oh mas a vida continua Eu sou apenas uma garota tentando achar um lugar nesse mundo  Talvez eu seja apenas uma garota com uma missão Mas eu estou pronta pra voar  Eu estou sozinha, comigo mesma, e é tudo que eu sei Eu serei forte, eu estarei errada,oh mas a vida continua Oh Eu estou sozinha, comigo mesma, e é tudo que eu sei Eu sou apenas uma garota tentando achar um lugar nesse mundo  Oh eu sou apenas uma garota Oh eu sou apenas uma garota Oh oh Oh eu sou apenas uma garota"
"3ade68b8g5ffed0b3";"taylor-swift";2;"I blew things out of proportion Now you're blue Put you in jail for something you didn't do I pinned your hands behind your back, oh Thought I had reason to attack, but no  Fighting with a true love is boxing with no gloves Chemistry 'til it blows up, 'til there's no us Why'd I have to break what I love so much? It's on your face, and I'm to blame, I need to say  Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you (Ooh) I don't wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it's all me, just don't go Meet me in the afterglow  It's so excruciating to see you low Just wanna lift you up and not let you go This ultraviolet morning light below Tells me this love is worth the fight, oh  I lived like an island, punished you in silence Went off like sirens, just crying Why'd I have to break what I love so much? It's on your face, don't walk away, I need to say  Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you (Ooh) I don't wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it's all me, just don't go Meet me in the afterglow  Tell me that you're still mine Tell me that we'll be just fine Even when I lose my mind I need to say Tell me that it's not my fault Tell me that I'm all you want Even when I break your heart I need to say  Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you (Ooh) I don't wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it's all me, just don't go Meet me in the afterglow";"3ade68b8g5ffed0b3";"taylor-swift";1;"[Resplendor]  Eu estraguei completamente as coisas Agora, você está chateado Te coloquei na cadeia por algo que você não fez Te deixei com as mãos atadas, oh Achei que eu tivesse uma razão para atacar, mas não  Lutar contra um amor verdadeiro é boxear sem luvas Química até explodir, mesmo que não houvesse ""nós"" Por que eu tinha que partir o que eu amo tanto? Está na sua cara, e eu sou a culpada, eu preciso dizer  Ei, foi minha culpa, em minha cabeça Fui eu que nos queimei Mas não era isso que eu queria Desculpe por ter te machucado Eu não quero fazer isso, não quero fazer isso com você (Ooh) Eu não quero perder, não quero perder isso com você (Ooh) Eu preciso dizer, ei, foi minha culpa, só não vá embora Me encontre no resplendor  É tão excruciante te ver para baixo Só quero te levantar e não te largar Esta luz da manhã ultravioleta Me diz que este amor vale a pena lutar, oh  Eu vivi como uma ilha, te punindo em silêncio Disparei como sirenes, só chorando Por que eu tinha que partir o que eu amo tanto? Está na sua cara, e eu sou a culpada, eu preciso dizer  Ei, foi minha culpa, em minha cabeça Fui eu que nos queimei Mas não era isso que eu queria Desculpe por ter te machucado Eu não quero fazer isso, não quero fazer isso com você (Ooh) Eu não quero perder, não quero perder isso com você (Ooh) Eu preciso dizer, ei, foi minha culpa, só não vá embora Me encontre no resplendor  Me diga que ainda é meu Me diga que ficaremos bem Mesmo que eu perca a cabeça Eu preciso dizer Me diga que não é minha culpa Me diga que sou tudo que você quer Mesmo quando eu parto seu coração Eu preciso dizer  Ei, foi minha culpa, em minha cabeça Fui eu que nos queimei Mas não era isso que eu queria Desculpe por ter te machucado Eu não quero fazer isso, não quero fazer isso com você (Ooh) Eu não quero perder, não quero perder isso com você (Ooh) Eu preciso dizer, ei, foi minha culpa, só não vá embora Me encontre no resplendor"
"3ade68b8g1e98bfa3";"taylor-swift";2;"The way you look, the way you laugh, The way you love with all you have, There ain't nothing bout you that don't do something for me The way you kiss, the way you cry, The way you move when you walk by There's ain't nothing bout you  (there ain't nothing bout you) That don't do something for me  Once I thought that love was something I could never do Never knew that I could feel this much But this yearning in the deep part of my heart for you Is more than a reaction to your touch It's a perfect passion and I can't get enough  The way you look, the way you laugh, The way you love with all you have, There ain't nothing bout you that don't do something for me The way you kiss, the way you cry, The way you move when you walk by There's ain't nothing bout you  (there ain't nothing bout you) That don't do something for me  In my life I've been hammered by some heavy blows That never knocked me off my feet All you gotta do is smile at me and down I go And baby it's no mystery why I surrender Girl you got everything  The way you look, the way you laugh, The way you love with all you have, There ain't nothing bout you that don't do something for me The way you kiss, the way you cry, The way you move when you walk by There's ain't nothing bout you  (there ain't nothing bout you) That don't do something for me  I love your attitude, your rose tattoo,  your every thought Your smile, you lips  and girl the list goes on and on and on  The way you look, the way you laugh, The way you love with all you have, There ain't nothing bout you that don't do something for me The way you kiss, the way you cry, The way you move when you walk by There's ain't nothing bout you  (there ain't nothing bout you) That don't do something for me  The way you look, the way you laugh, The way you love with all you have, Your dance, your drive, you make me feel alive  The way you talk, the way you tease Right now I think you see There ain't nothing bout you that don't do something for me";"3ade68b8g1e98bfa3";"taylor-swift";1;"[Não tem nada em você]  O jeito como você olha, o jeito como você ri O jeito como você ama com tudo o que tem Não tem nada em você que não mexa com algo em mim O jeito como você beija, o jeito como você chora O jeito como você se mexe quando anda Não tem nada em você (não tem nada em você) Que não mexe em alguma coisa comigo  Eu pensava que o amor era uma coisa que eu nunca teria Nunca pensei que eu poderia sentir isso Mas esse desejo na mais profunda parte do meu coração por você É mais do que uma reação ao seu toque É uma paixão perfeita e eu não me canso  O jeito como você olha, o jeito como você ri O jeito como você ama com tudo o que tem Não tem nada em você que não mexa com algo em mim O jeito como você beija, o jeito como você chora O jeito como você se mexe quando anda Não tem nada em você (não tem nada em você) Que não mexe em alguma coisa comigo  Na minha vida eu levei uns golpes baixos Que nunca me fizeram perder a cabeça Você só precisa sorrir para mim que eu vou E amor, não é mistério nenhum por que eu me entrego Garota, você tem tudo  O jeito como você olha, o jeito como você ri O jeito como você ama com tudo o que tem Não tem nada em você que não mexa com algo em mim O jeito como você beija, o jeito como você chora O jeito como você se mexe quando anda Não tem nada em você (não tem nada em você) Que não mexe em alguma coisa comigo  Eu amo o seu comportamento, sua tatuagem de rosa,  Seu jeito de pensar seu sorriso, seus lábios  E, garota, a lista vai longe  O jeito como você olha, o jeito como você ri O jeito como você ama com tudo o que tem Não tem nada em você que não mexa com algo em mim O jeito como você beija, o jeito como você chora O jeito como você se mexe quando anda Não tem nada em você (não tem nada em você) Que não mexe em alguma coisa comigo  O jeito como você olha, o jeito como você ri O jeito como você ama com tudo o que tem Você faz eu me sentir vivo  O jeito como você fala, como me provoca Bem agora eu acho que você vê Que não há nada em você que não faça algo por mim"
