"album_release_year";"danceability";"energy";"loudness";"mode";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"duration_ms";"explicit";"track_name";"track_number";"album_name";"key_name";"mode_name";"key_mode";"text"
2020;0,777;0,357;-6,942;1;0,0522;0,757;7,28e-06;0,108;0,172;139,883;210251;TRUE;"the 1";1;"folklore";"C";"major";"C major";"I'm doing good, I'm on some new shit Been saying ""yes"" instead of ""no"" I thought I saw you at the bus stop, I didn't though I hit the ground running each night I hit the Sunday matinée You know the greatest films of all time were never made  I guess you never know, never know And if you wanted me, you really should've showed And if you never bleed, you're never gonna grow And it's alright now  But we were something, don't you think so? Roaring twenties, tossing pennies in the pool And if my wishes came true It would've been you In my defense, I have none For never leaving well enough alone But it would've been fun If you would've been the one (Ooh)  I had this dream you're doing cool shit Having adventures on your own You meet some woman on the internet and take her home We never painted by the numbers, baby But we were making it count You know the greatest loves of all time are over now  I guess you never know, never know And it's another day waking up alone  But we were something, don't you think so? Roaring twenties, tossing pennies in the pool And if my wishes came true It would've been you In my defense, I have none For never leaving well enough alone But it would've been fun If you would've been the one  I, I, I persist and resist the temptation to ask you If one thing had been different Would everything be different today?  We were something, don't you think so? Rosé flowing with your chosen family And it would've been sweet If it could've been me In my defense, I have none For digging up the grave another time But it would've been fun If you would've been the one (Ooh)"
2020;0,613;0,581;-8,588;0;0,0424;0,537;0,000345;0,25;0,551;130,033;239560;FALSE;"cardigan";2;"folklore";"C";"minor";"C minor";"Vintage tee, brand new phone High heels on cobblestones When you are young, they assume you know nothing Sequined smile, black lipstick, sensual politics When you are young, they assume you know nothing  But I knew you Dancin' in your Levi's Drunk under a streetlight, I I knew you Hand under my sweatshirt Baby, kiss it better, I  And when I felt like I was an old cardigan Under someone's bed You put me on and said I was your favorite  A friend to all is a friend to none Chase two girls, lose the one When you are young, they assume you know nothing  But I knew you Playing hide-and-seek and Giving me your weekends, I I knew you Your heartbeat on the High Line Once in twenty lifetimes, I  And when I felt like I was an old cardigan Under someone's bed You put me on and said I was your favorite  To kiss in cars and downtown bars Was all we needed You drew stars around my scars But now I'm bleedin'  'Cause I knew you Steppin' on the last train Marked me like a bloodstain, I I knew you Tried to change the ending Peter losing Wendy, I I knew you Leavin' like a father Running like water, I And when you are young, they assume you know nothing  But I knew you'd linger like a tattoo kiss I knew you'd haunt all of my what-ifs The smell of smoke would hang around this long 'Cause I knew everything when I was young I knew I'd curse you for the longest time Chasin' shadows in the grocery line I knew you'd miss me once the thrill expired And you'd be standin' in my front porch light And I knew you'd come back to me You'd come back to me And you'd come back to me And you'd come back  And when I felt like I was an old cardigan Under someone's bed You put me on and said I was your favorite"
2020;0,686;0,662;-8,505;1;0,0413;0,467;0,0023;0,109;0,706;147,922;230999;TRUE;"the last great american dynasty";3;"folklore";"G";"major";"G major";"Rebekah rode up on the afternoon train, it was sunny Her saltbox house on the coast took her mind off St. Louis Bill was the heir to the Standard Oil name and money And the town said ""How did a middle-class divorcée do it? "" The wedding was charming, if a little gauche There's only so far new money goes They picked out a home and called it ""Holiday House"" Their parties were tasteful, if a little loud The doctor had told him to settle down It must have been her fault his heart gave out And they said  There goes the last great American dynasty Who knows, if she never showed up what could've been There goes the maddest woman this town has ever seen She had a marvelous time ruining everything  Rebekah gave up on the Rhode Island set forever Flew in all her Bitch Pack friends from the city Filled the pool with champagne and swam with the big names And blew through the money on the boys and the ballet And losing on card game bets with Dalí And they said  There goes the last great American dynasty Who knows, if she never showed up What could've been There goes the most shameless woman this town has ever seen She had a marvelous time ruining everything  They say she was seen on occasion Pacing the rocks, staring out at the midnight sea And in a feud with her neighbor She stole his dog and dyed it key lime green Fifty years is a long time Holiday House sat quietly on that beach Free of women with madness their men and bad habits And then it was bought by me  Who knows, if I never showed up what could've been There goes the loudest woman this town has ever seen I had a marvelous time ruining everything  I had a marvelous time ruining everything A marvelous time ruining everything A marvelous time I had a marvelous time"
2020;0,298;0,38;-8,426;1;0,0287;0,778;5,62e-05;0,11;0,152;75,602;285634;FALSE;"exile (feat. bon iver)";4;"folklore";"F#";"major";"F# major";"I can see you standing, honey With his arms around your body Laughin', but the joke's not funny at all And it took you five whole minutes To pack us up and leave me with it Holdin' all this love out here in the hall  I think I've seen this film before And I didn't like the ending You're not my homeland anymore So what am I defending now? You were my town, now I'm in exile, seein' you out I think I've seen this film before  Ooh, ooh, ooh  I can see you starin', honey Like he's just your understudy Like you'd get your knuckles bloody for me Second, third, and hundredth chances Balancin' on breaking branches Those eyes add insult to injury  I think I've seen this film before And I didn't like the ending I'm not your problem anymore So who am I offending now? You were my crown, now I'm in exile, seein' you out I think I've seen this film before So I'm leaving out the side door  So step right out, there is no amount Of crying I can do for you All this time We always walked a very thin line You didn't even hear me out (You didn't even hear me out) You never gave a warning sign (I gave so many signs) All this time I never learned to read your mind (Never learned to read my mind) I couldn't turn things around (You never turned things around) 'Cause you never gave a warning sign (I gave so many signs) So many signs, so many signs You didn't even see the signs  I think I've seen this film before And I didn't like the ending You're not my homeland anymore So what am I defending now? You were my town, now I'm in exile, seein' you out I think I've seen this film before So I'm leavin' out the side door  So step right out, there is no amount Of crying I can do for you All this time We always walked a very thin line You didn't even hear me out (Didn't even hear me out) You never gave a warning sign (I gave so many signs) All this time I never learned to read your mind (Never learned to read my mind) I couldn't turn things around (You never turned things around) 'Cause you never gave a warning sign (I gave so many signs) You never gave a warning sign (All this time) (So many signs) I never learned to read your mind (So many signs) I couldn't turn things around (I couldn't turn things around) 'Cause you never gave a warning sign (You never gave a warning sign) You never gave a warning sign Ah, ah"
2020;0,456;0,263;-10,63;1;0,0332;0,806;0;0,0749;0,111;129,86;255893;FALSE;"my tears ricochet";5;"folklore";"C";"major";"C major";"We gather here, we line up weepin' in a sunlit room And if I'm on fire you'll be made of ashes, too Even on my worst day, did I deserve, babe All the hell you gave me? 'Cause I loved you, I swear I loved you 'Til my dying day  I didn't have it in myself to go with grace And you're the hero flying around, saving face And if I'm dead to you Why are you at the wake? Cursing my name, wishing I stayed Look at how my tears ricochet  We gather stones, never knowing what they'll mean Some to throw, some to make a diamond ring You know I didn't want to have to haunt you But what a ghostly scene You wear the same jewels that I gave you As you bury me  I didn't have it in myself to go with grace 'Cause when I'd fight, you used to tell me I was brave And if I'm dead to you Why are you at the wake? Cursing my name, wishing I stayed Look at how my tears ricochet  And I can go anywhere I want Anywhere I want, just not home And you can aim for my heart, go for blood But you would still miss me in your bones And I still talk to you (When I'm screaming at the sky) And when you can't sleep at night (You hear my stolen lullabies)  I didn't have it in myself to go with grace And so the battleships will sink beneath the waves You had to kill me, but it killed you just the same Cursing my name, wishing I stayed You turned into your worst fears And you're tossing out blame, drunk on this pain Crossing out the good years And you're cursing my name, wishing I stayed Look at how my tears ricochet"
2020;0,596;0,488;-10,769;1;0,0274;0,9;2,7e-05;0,091;0,415;94,926;208906;FALSE;"seven";7;"folklore";"E";"major";"E major";"Please picture me in the trees I hit my peak at seven Feet in the swing over the creek I was too scared to jump in But I, I was high in the sky With Pennsylvania under me Are there still beautiful things?  Sweet tea in the summer Cross your heart, won't tell no other And though I can't recall your face I still got love for you Your braids like a pattern Love you to the Moon and to Saturn Passed down like folk songs The love lasts so long  And I've been meaning to tell you I think your house is haunted Your dad is always mad and that must be why And I think you should come live with me And we can be pirates Then you won't have to cry Or hide in the closet And just like a folk song Our love will be passed on  Please picture me in the weeds Before I learned civility I used to scream ferociously Any time I wanted I, I Sweet tea in the summer Cross my heart, won't tell no other And though I can't recall your face I still got love for you Pack your dolls and a sweater We'll move to India forever Passed down like folk songs Our love lasts so long"
2020;0,532;0,623;-9,208;1;0,0331;0,538;7,28e-05;0,0925;0,403;89,937;261922;FALSE;"august";8;"folklore";"F";"major";"F major";"Salt air, and the rust on your door I never needed anything more Whispers of ""Are you sure? "" ""Never have I ever before""  But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine And I can see us twisted in bedsheets August sipped away like a bottle of wine 'Cause you were never mine  Your back beneath the sun Wishin' I could write my name on it Will you call when you're back at school? I remember thinkin' I had you  But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine And I can see us twisted in bedsheets August sipped away like a bottle of wine 'Cause you were never mine  Back when we were still changin' for the better Wanting was enough For me, it was enough To live for the hope of it all Canceled plans just in case you'd call And say, ""Meet me behind the mall"" So much for summer love and saying ""us"" 'Cause you weren't mine to lose You weren't mine to lose, oh  But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine And I can see us twisted in bedsheets August sipped away like a bottle of wine 'Cause you were never mine  'Cause you were never mine Never mine But do you remember? Remember when I pulled up and said ""Get in the car"" And then canceled my plans just in case you'd call? Back when I was livin' for the hope of it all For the hope of it all ""Meet me behind the mall"" (Remember when I pulled up and said ""Get in the car"" And then canceled my plans just in case you'd call? Back when I was livin' for the hope of it all For the hope of it all ""Meet me behind the mall"") Remember when I pulled up and said ""Get in the car"" And then canceled my plans just in case you'd call? Back when I was livin' for the hope of it all (For the hope of it all) For the hope of it all, for the hope of it all (For the hope of it all, for the hope of it all)"
2020;0,515;0,476;-9,843;1;0,0328;0,314;4,74e-05;0,171;0,412;135,886;195097;FALSE;"this is me trying";9;"folklore";"A";"major";"A major";"I've been having a hard time adjusting I had the shiniest wheels, now they're rusting I didn't know if you'd care if I came back I have a lot of regrets about that Pulled the car off the road to the lookout Could've followed my fears all the way down And maybe I don't quite know what to say But I'm here in your doorway  I just wanted you to know that this is me trying I just wanted you to know that this is me trying  They told me all of my cages were mental So I got wasted like all my potential And my words shoot to kill when I'm mad I have a lot of regrets about that I was so ahead of the curve, the curve became a sphere Fell behind all my classmates and I ended up here Pouring out my heart to a stranger But I didn't pour the whiskey  I just wanted you to know that this is me trying I just wanted you to know that this is me trying  At least I'm trying  And it's hard to be at a party when I feel like an open wound It's hard to be anywhere these days when all I want is you You're a flashback in a film reel on the one screen in my town  And I just wanted you to know that this is me trying (And maybe I don't quite know what to say) I just wanted you to know that this is me trying  At least I'm trying"
2020;0,559;0,31;-10,445;1;0,0338;0,881;0;0,106;0,46;119,845;190898;FALSE;"illicit affairs";10;"folklore";"A#";"major";"A# major";"Make sure nobody sees you leave Hood over your head, keep your eyes down Tell your friends you're out for a run You'll be flushed when you return Take the road less traveled by Tell yourself you can always stop What started in beautiful rooms Ends with meetings in parking lots  And that's the thing about illicit affairs And clandestine meetings and longing stares It's born from just one single glance But it dies and it dies and it dies A million little times  Leave the perfume on the shelf That you picked out just for him So you leave no trace behind Like you don't even exist Take the words for what they are A dwindling, mercurial high A drug that only worked The first few hundred times  And that's the thing about illicit affairs And clandestine meetings and stolen stares They show their truth one single time But they lie and they lie and they lie A million little times  And you wanna scream Don't call me ""kid, "" don't call me ""baby"" Look at this godforsaken mess that you made me You showed me colors you know I can't see with anyone else Don't call me ""kid"", don't call me ""baby"" Look at this idiotic fool that you made me You taught me a secret language I can't speak with anyone else And you know damn well For you, I would ruin myself A million little times"
2020;0,653;0,452;-11,143;0;0,055;0,838;7,73e-05;0,108;0,45;83,433;252880;FALSE;"invisible string";11;"folklore";"E";"minor";"E minor";"Green was the color of the grass Where I used to read at Centennial Park I used to think I would meet somebody there Teal was the color of your shirt When you were sixteen at the yogurt shop You used to work at to make a little money  Time, curious time Gave me no compasses, gave me no signs Were there clues I didn't see? And isn't it just so pretty to think All along there was some Invisible string Tying you to me? Ooh-oh-ooh-ooh  Bad was the blood of the song in the cab On your first trip to LA You ate at my favorite spot for dinner Bold was the waitress on our three-year trip Getting lunch down by the Lakes She said I looked like an American singer  Time, mystical time Cutting me open, then healing me fine Were there clues I didn't see? And isn't it just so pretty to think All along there was some Invisible string Tying you to me? Ooh-ooh-ooh-ooh  A string that pulled me Out of all the wrong arms, right into that dive bar Something wrapped all of my past mistakes in barbed wire Chains around my demons Wool to brave the seasons One single thread of gold Tied me to you  Cold was the steel of my axe to grind For the boys who broke my heart Now I send their babies presents Gold was the color of the leaves When I showed you around Centennial Park Hell was the journey but it brought me heaven  Time, wondrous time Gave me the blues and then purple-pink skies And it's cool Baby, with me And isn't it just so pretty to think All along there was some Invisible string Tying you to me? Ooh-ooh-ooh-ooh Me Ooh-ooh-ooh-ooh  (Ah-ah-ah) (Ah-ah-ah)"
